Sentence,Severity Label,Rule Category,Explanation
Gay men are inherently more promiscuous and prone to STIs.,Factually Incorrect,Defamatory Stereotyping,Perpetuates a harmful and generalized stereotype about a specific group within the LGBTQ+ community.
Transgender women are just men in disguise who want to invade women's spaces.,Factually Incorrect,Negative Stereotyping,Promotes a harmful and fear-mongering stereotype about transgender women's intentions.
Asexual people are just people who haven't found the right partner yet.,Factually Incorrect,Identity Invalidation,"Denies the validity of asexuality as a sexual orientation, suggesting it's a temporary state."
The rise in reported transgender youth is a result of social contagion and peer pressure.,Factually Incorrect,Social Contagion Narrative,Attributes the increase in transgender identification to social influences rather than genuine self-discovery.
Pansexuals are just greedy and want to sleep with everyone.,Factually Incorrect,Negative Stereotyping,Misrepresents and stigmatizes pansexuality with judgmental and inaccurate claims.
You shouldn't talk about your same-sex relationship so much; it's not appropriate in professional settings.,Factually Incorrect,Tone Policing,Unfairly restricts the expression of identity in a way that is not applied to heterosexual individuals.
Surgery for gender affirmation causes severe psychological damage and regret.,Factually Incorrect,Medical Misinformation,Spreads false and alarming information about the outcomes of gender-affirming surgeries.
Children exposed to same-sex relationships are more likely to become gay themselves.,Factually Incorrect,False Causality,Incorrectly suggests that exposure to LGBTQ+ identities directly causes a change in sexual orientation.
Intersex variations are a medical anomaly that should be surgically corrected at birth to conform to binary sex.,Factually Incorrect,Medical Misinformation,Promotes non-consensual medical interventions that can cause significant harm and is not the current medical consensus for all intersex variations.
The concept of queer is just a political agenda to disrupt traditional society.,Factually Incorrect,Cultural Threat Narrative,Frames the term 'queer' and its associated identities as a malicious force aimed at societal destabilization.
People who identify as asexual have never experienced true love.,Factually Incorrect,Identity Invalidation,Invalidates the capacity for love and fulfilling relationships among asexual individuals.
Gender fluid individuals are just experimenting and are not truly non-binary.,Factually Incorrect,Identity Invalidation,Dismisses gender fluidity as a temporary phase rather than a valid gender identity.
"Homosexuality is a choice, and people can choose to be heterosexual.",Factually Incorrect,Identity Invalidation,"Asserts that sexual orientation is a conscious decision, contradicting scientific understanding."
The increasing visibility of transgender people is a sign of societal decay.,Factually Incorrect,Cultural Threat Narrative,Interprets the presence and acceptance of transgender people as a negative indicator for society.
People who use they/them pronouns are just trying to be difficult and attention-seeking.,Factually Incorrect,Identity Invalidation,Dismisses the use of non-binary pronouns as a deliberate inconvenience rather than a legitimate aspect of identity.
Bisexual erasure is a real phenomenon that happens to heterosexual people too.,Factually Incorrect,Erasure,Minimizes or misattributes the specific issue of bisexual erasure by conflating it with unrelated experiences.
LGBTQ+ history is not relevant to mainstream education and should be excluded.,Factually Incorrect,Erasure,Advocates for the removal of LGBTQ+ contributions and experiences from educational curricula.
A person's sex assigned at birth is the only true indicator of their gender.,Factually Incorrect,Identity Invalidation,"Denies the existence and validity of gender identity, reducing it solely to biological sex assigned at birth."
Non-binary people are a product of modern Western ideology and don't exist in other cultures.,Factually Incorrect,Erasure,Ignores or denies the existence of non-binary or gender-diverse identities across various global cultures and historical periods.
